KT             Conversion stage [s]
30000           1.65
10000           1.29
 4096           1.15
 3200           1.15
 3000           1.14 <--
 2800           1.15
 2500           1.14 <--
 2048           1.18
 2000           1.19
 1000           1.28
  300           1.38
   30           1.78

=== Basecase tresh ===

BT          Total
35          15.471785
350         15.061845
1000        14.959232
1200        14.947028
1500        14.742755 <--
1700        15.153612
2000        14.809109
3500        15.117262
8000        16.637580
