xi: L = 16, u = 00 | s = 01 | (1.000000, 0.000000)      0

xi: L = 02, u = 00 | s = 08 | (1.000000, 0.000000)      0
xi: L = 02, u = 04 | s = 08 | (0.000000, 1.000000)      4
xi: L = 02, u = 01 | s = 08 | (0.923880, 0.382683)      1
xi: L = 02, u = 05 | s = 08 | (-0.382683, 0.923880)     5
xi: L = 02, u = 02 | s = 08 | (0.707107, 0.707107)      2
xi: L = 02, u = 06 | s = 08 | (-0.707107, 0.707107)     6
xi: L = 02, u = 03 | s = 08 | (0.382683, 0.923880)      3
xi: L = 02, u = 07 | s = 08 | (-0.923880, 0.382683)     7

xi: L = 02, u = 00 | s = 04 | (1.000000, 0.000000)      0
xi: L = 02, u = 08 | s = 04 | (1.000000, 0.000000)      0
xi: L = 02, u = 01 | s = 04 | (0.707107, 0.707107)      2
xi: L = 02, u = 09 | s = 04 | (0.707107, 0.707107)      2
xi: L = 02, u = 02 | s = 04 | (0.000000, 1.000000)      4
xi: L = 02, u = 03 | s = 04 | (-0.707107, 0.707107)     6
xi: L = 02, u = 11 | s = 04 | (-0.707107, 0.707107)     6
xi: L = 02, u = 10 | s = 04 | (0.000000, 1.000000)      4

xi: L = 02, u = 00 | s = 02 | (1.000000, 0.000000)
xi: L = 02, u = 01 | s = 02 | (0.000000, 1.000000)
xi: L = 02, u = 04 | s = 02 | (1.000000, 0.000000)
xi: L = 02, u = 05 | s = 02 | (0.000000, 1.000000)
xi: L = 02, u = 08 | s = 02 | (1.000000, 0.000000)
xi: L = 02, u = 09 | s = 02 | (0.000000, 1.000000)
xi: L = 02, u = 12 | s = 02 | (1.000000, 0.000000)
xi: L = 02, u = 13 | s = 02 | (0.000000, 1.000000)

xi: L = 04, u = 00 | s = 04 | (1.000000, 0.000000)      0
xi: L = 04, u = 01 | s = 04 | (0.923880, 0.382683)      1
xi: L = 04, u = 02 | s = 04 | (0.707107, 0.707107)      2
xi: L = 04, u = 03 | s = 04 | (0.382683, 0.923880)      3


xi: L = 04, u = 00 | s = 01 | (1.000000, 0.000000)
xi: L = 02, u = 00 | s = 01 | (1.000000, 0.000000)
xi: L = 02, u = 02 | s = 01 | (1.000000, 0.000000)
xi: L = 04, u = 04 | s = 01 | (1.000000, 0.000000)
xi: L = 02, u = 04 | s = 01 | (1.000000, 0.000000)
xi: L = 02, u = 06 | s = 01 | (1.000000, 0.000000)
xi: L = 04, u = 08 | s = 01 | (1.000000, 0.000000)
xi: L = 02, u = 08 | s = 01 | (1.000000, 0.000000)
xi: L = 02, u = 10 | s = 01 | (1.000000, 0.000000)
xi: L = 04, u = 12 | s = 01 | (1.000000, 0.000000)
xi: L = 02, u = 12 | s = 01 | (1.000000, 0.000000)
xi: L = 02, u = 14 | s = 01 | (1.000000, 0.000000)

xi: omega,               00 | (1.000000, 0.000000)
xi: omega,               01 | (0.923880, 0.382683)
xi: omega,               02 | (0.707107, 0.707107)
xi: omega,               03 | (0.382683, 0.923880)
xi: omega,               04 | (0.000000, 1.000000)
xi: omega,               05 | (-0.382683, 0.923880)
xi: omega,               06 | (-0.707107, 0.707107)
xi: omega,               07 | (-0.923880, 0.382683)
